,Population,Poverty Raw,Poverty Rate,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployed,Unemployment Rate,Median Household Income,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
"Less than high school graduate, 2019-23",0.940168831,0.9583054181081666,-0.029658143,0.9638219579370718,0.889142262,0.9326098312284143,0.9297519960850064,0.9686759804408216,0.067353149,0.16329110252655413,1,0.9292487822946585,0.9230735435678054,0.8765300515959767,0.060481941,-0.206391201,-0.124034514,0.18693247057943357
"High school graduate (or equivalency), 2019-23",0.9817975875641589,0.9658082230208459,-0.098141298,0.9498351105374706,0.9613718944740942,0.9731329486574584,0.9722743162834214,0.9628015629287795,0.048038060278257605,0.2524466776818574,0.9292487822946585,1,0.9816612084901205,0.9260273338858779,-0.026592035,-0.270307812,-0.151272179,0.29606456258618447
"Some college or associate degree, 2019-23",0.9903376761199837,0.9513459377944204,-0.115765773,0.9609243587343479,0.9549424832391998,0.9845934093114518,0.9843728893775475,0.9594977207693629,0.028953499,0.2793989451348046,0.9230735435678054,0.9816612084901205,1,0.9445422348100556,-0.044697849,-0.315709886,-0.115084947,0.3212327591807787
"Bachelor's degree or higher, 2019-23",0.9715652495150081,0.9072069852862681,-0.137207002,0.9439461704484918,0.8823377159129535,0.9799275617456736,0.9805914248222729,0.9349972266374473,-0.00660316,0.3463351754665354,0.8765300515959767,0.9260273338858779,0.9445422348100556,1,-0.069484653,-0.354095473,-0.193646096,0.4041733228585032
"Percent of adults who are not high school graduates, 2019-23",-0.033685504,0.023770341,0.6176362759952961,-0.019923626,-0.028474703,-0.041247935,-0.043109739,0.002068058,0.36076920533899387,-0.499167597,0.060481941,-0.026592035,-0.044697849,-0.069484653,1,0.298397154,-0.376779533,-0.568306487
"Percent of adults who are high school graduates (or equivalent), 2019-23",-0.317350788,-0.257955937,0.383310727,-0.2715482,-0.247966904,-0.32161286,-0.32381874,-0.261960097,0.2029846700781107,-0.586968436,-0.206391201,-0.270307812,-0.315709886,-0.354095473,0.298397154,1,-0.20078379,-0.809140484
"Percent of adults completing some college or associate degree, 2019-23",-0.156743968,-0.140052065,-0.194185085,-0.127015757,-0.110705421,-0.161281796,-0.162151186,-0.136716509,-0.106454151,-0.023521638,-0.124034514,-0.151272179,-0.115084947,-0.193646096,-0.376779533,-0.20078379,1,-0.163942502
"Percent of adults with a bachelor's degree or higher, 2019-23",0.3381144260200487,0.2537301568953934,-0.52045129,0.28157758802844207,0.25995982995193156,0.34848710716983616,0.351607851,0.2673477123538089,-0.292889256,0.7225275794427473,0.18693247057943357,0.29606456258618447,0.3212327591807787,0.4041733228585032,-0.568306487,-0.809140484,-0.163942502,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Population,Poverty Raw,Poverty Rate,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployed,Unemployment Rate,Median Household Income,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
Population,1,0.96,-0.11,0.97,0.94,1,1,0.97,0.03,0.29,0.94,0.98,0.99,0.97,-0.03,-0.32,-0.16,0.34
Poverty Raw,0.96,1,-0.02,0.95,0.92,0.95,0.95,0.97,0.07,0.17,0.96,0.97,0.95,0.91,0.02,-0.26,-0.14,0.25
Poverty Rate,-0.11,-0.02,1,-0.09,-0.08,-0.12,-0.12,-0.07,0.45,-0.79,-0.03,-0.1,-0.12,-0.14,0.62,0.38,-0.19,-0.52
COVID Cases,0.97,0.95,-0.09,1,0.92,0.97,0.97,0.97,0.02,0.25,0.96,0.95,0.96,0.94,-0.02,-0.27,-0.13,0.28
COVID Deaths,0.94,0.92,-0.08,0.92,1,0.93,0.93,0.92,0.04,0.21,0.89,0.96,0.95,0.88,-0.03,-0.25,-0.11,0.26
Labor Force,1,0.95,-0.12,0.97,0.93,1,1,0.97,0.01,0.3,0.93,0.97,0.98,0.98,-0.04,-0.32,-0.16,0.35
Employed,1,0.95,-0.12,0.97,0.93,1,1,0.97,0.01,0.3,0.93,0.97,0.98,0.98,-0.04,-0.32,-0.16,0.35
Unemployed,0.97,0.97,-0.07,0.97,0.92,0.97,0.97,1,0.08,0.23,0.97,0.96,0.96,0.93,0,-0.26,-0.14,0.27
Unemployment Rate,0.03,0.07,0.45,0.02,0.04,0.01,0.01,0.08,1,-0.33,0.07,0.05,0.03,-0.01,0.36,0.2,-0.11,-0.29
Median Household Income,0.29,0.17,-0.79,0.25,0.21,0.3,0.3,0.23,-0.33,1,0.16,0.25,0.28,0.35,-0.5,-0.59,-0.02,0.72
"Less than high school graduate, 2019-23",0.94,0.96,-0.03,0.96,0.89,0.93,0.93,0.97,0.07,0.16,1,0.93,0.92,0.88,0.06,-0.21,-0.12,0.19
"High school graduate (or equivalency), 2019-23",0.98,0.97,-0.1,0.95,0.96,0.97,0.97,0.96,0.05,0.25,0.93,1,0.98,0.93,-0.03,-0.27,-0.15,0.3
"Some college or associate degree, 2019-23",0.99,0.95,-0.12,0.96,0.95,0.98,0.98,0.96,0.03,0.28,0.92,0.98,1,0.94,-0.04,-0.32,-0.12,0.32
"Bachelor's degree or higher, 2019-23",0.97,0.91,-0.14,0.94,0.88,0.98,0.98,0.93,-0.01,0.35,0.88,0.93,0.94,1,-0.07,-0.35,-0.19,0.4
"Percent of adults who are not high school graduates, 2019-23",-0.03,0.02,0.62,-0.02,-0.03,-0.04,-0.04,0,0.36,-0.5,0.06,-0.03,-0.04,-0.07,1,0.3,-0.38,-0.57
"Percent of adults who are high school graduates (or equivalent), 2019-23",-0.32,-0.26,0.38,-0.27,-0.25,-0.32,-0.32,-0.26,0.2,-0.59,-0.21,-0.27,-0.32,-0.35,0.3,1,-0.2,-0.81
"Percent of adults completing some college or associate degree, 2019-23",-0.16,-0.14,-0.19,-0.13,-0.11,-0.16,-0.16,-0.14,-0.11,-0.02,-0.12,-0.15,-0.12,-0.19,-0.38,-0.2,1,-0.16
"Percent of adults with a bachelor's degree or higher, 2019-23",0.34,0.25,-0.52,0.28,0.26,0.35,0.35,0.27,-0.29,0.72,0.19,0.3,0.32,0.4,-0.57,-0.81,-0.16,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,COVID Cases,COVID Deaths,,,,,,,,,,,,,,,,
Population,0.97,0.94,,,,,,,,,,,,,,,,
Poverty Raw,0.95,0.92,,,,,,,,,,,,,,,,
Poverty Rate,-0.09,-0.08,,,,,,,,,,,,,,,,
COVID Cases,1,0.92,,,,,,,,,,,,,,,,
COVID Deaths,0.92,1,,,,,,,,,,,,,,,,
Labor Force,0.97,0.93,,,,,,,,,,,,,,,,
Employed,0.97,0.93,,,,,,,,,,,,,,,,
Unemployed,0.97,0.92,,,,,,,,,,,,,,,,
Unemployment Rate,0.02,0.04,,,,,,,,,,,,,,,,
Median Household Income,0.25,0.21,,,,,,,,,,,,,,,,
"Less than high school graduate, 2019-23",0.96,0.89,,,,,,,,,,,,,,,,
"High school graduate (or equivalency), 2019-23",0.95,0.96,,,,,,,,,,,,,,,,
"Some college or associate degree, 2019-23",0.96,0.95,,,,,,,,,,,,,,,,
"Bachelor's degree or higher, 2019-23",0.94,0.88,,,,,,,,,,,,,,,,
"Percent of adults who are not high school graduates, 2019-23",-0.02,-0.03,,,,,,,,,,,,,,,,
"Percent of adults who are high school graduates (or equivalent), 2019-23",-0.27,-0.25,,,,,,,,,,,,,,,,
"Percent of adults completing some college or associate degree, 2019-23",-0.13,-0.11,,,,,,,,,,,,,,,,
"Percent of adults with a bachelor's degree or higher, 2019-23",0.28,0.26,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Poverty Rate,COVID Cases,COVID Deaths,Labor Force,Employed,Unemployment Rate,Median Household Income,"Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",,,,,,,
Poverty Rate,1,0.049944359152549675,0.2578645146836229,-0.148893945,-0.151852307,0.45455886022360925,-0.787658155,0.6176362759952961,0.383310727,-0.194185085,-0.52045129,,,,,,,
COVID Cases,0.049944359152549675,1,0.5163653609524123,0.9148978168862846,0.9132474116211203,0.044606158,0.001954564,0.039815672,-0.008470924,0.077492951,-0.055346223,,,,,,,
COVID Deaths,0.2578645146836229,0.5163653609524123,1,0.4646092488822193,0.4641526179877679,0.079034221,-0.340441465,0.1861104561109078,0.2983099633319604,0.066053636,-0.360233234,,,,,,,
Labor Force,-0.148893945,0.9148978168862846,0.4646092488822193,1,0.999918037,-0.170455947,0.13993283578866325,-0.105132657,-0.104404798,0.1566249944268677,0.054365184,,,,,,,
Employed,-0.151852307,0.9132474116211203,0.4641526179877679,0.999918037,1,-0.181746258,0.1415548248859073,-0.107699191,-0.10525136,0.15753200028936518,0.055920558,,,,,,,
Unemployment Rate,0.45455886022360925,0.044606158,0.079034221,-0.170455947,-0.181746258,1,-0.330901743,0.36076920533899387,0.2029846700781107,-0.106454151,-0.292889256,,,,,,,
Median Household Income,-0.787658155,0.001954564,-0.340441465,0.13993283578866325,0.1415548248859073,-0.330901743,1,-0.499167597,-0.586968436,-0.023521638,0.7225275794427473,,,,,,,
"Percent of adults who are not high school graduates, 2019-23",0.6176362759952961,0.039815672,0.1861104561109078,-0.105132657,-0.107699191,0.36076920533899387,-0.499167597,1,0.298397154,-0.376779533,-0.568306487,,,,,,,
"Percent of adults who are high school graduates (or equivalent), 2019-23",0.383310727,-0.008470924,0.2983099633319604,-0.104404798,-0.10525136,0.2029846700781107,-0.586968436,0.298397154,1,-0.20078379,-0.809140484,,,,,,,
"Percent of adults completing some college or associate degree, 2019-23",-0.194185085,0.077492951,0.066053636,0.1566249944268677,0.15753200028936518,-0.106454151,-0.023521638,-0.376779533,-0.20078379,1,-0.163942502,,,,,,,
"Percent of adults with a bachelor's degree or higher, 2019-23",-0.52045129,-0.055346223,-0.360233234,0.054365184,0.055920558,-0.292889256,0.7225275794427473,-0.568306487,-0.809140484,-0.163942502,1,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,COVID Cases,COVID Deaths,,,,,,,,,,,,,,,,
Poverty Rate,0.05,0.26,,,,,,,,,,,,,,,,
COVID Cases,1,0.52,,,,,,,,,,,,,,,,
COVID Deaths,0.52,1,,,,,,,,,,,,,,,,
Labor Force,0.91,0.46,,,,,,,,,,,,,,,,
Employed,0.91,0.46,,,,,,,,,,,,,,,,
Unemployment Rate,0.04,0.08,,,,,,,,,,,,,,,,
Median Household Income,0,-0.34,,,,,,,,,,,,,,,,
"Percent of adults who are not high school graduates, 2019-23",0.04,0.19,,,,,,,,,,,,,,,,
"Percent of adults who are high school graduates (or equivalent), 2019-23",-0.01,0.3,,,,,,,,,,,,,,,,
"Percent of adults completing some college or associate degree, 2019-23",0.08,0.07,,,,,,,,,,,,,,,,
"Percent of adults with a bachelor's degree or higher, 2019-23",-0.06,-0.36,,,,,,,,,,,,,,,,
